Date,BITO,GLD,SPY,TLT
2022-01-24,22.46589469909668,172.02999877929688,431.17266845703125,138.12545776367188
2022-01-25,22.217124938964844,172.5800018310547,425.9084777832031,137.90243530273438
2022-01-26,22.24582862854004,169.7899932861328,424.8399963378906,136.23464965820312
2022-01-27,21.3464298248291,167.60000610351562,422.74212646484375,138.736328125
2022-01-28,22.743370056152344,167.10000610351562,433.2410888671875,138.7848358154297
2022-01-31,23.116525650024414,168.08999633789062,441.0442199707031,138.06729125976562
2022-02-01,23.154800415039062,168.22999572753906,444.0243835449219,137.60897827148438
2022-02-02,22.56157875061035,168.83999633789062,448.337646484375,138.0750274658203
2022-02-03,21.85353660583496,168.60000610351562,437.7994689941406,136.99725341796875
2022-02-04,24.4560604095459,168.86000061035156,439.8581237792969,134.9775848388672
2022-02-07,26.628019332885742,170.11000061035156,438.4465026855469,135.06497192382812
2022-02-08,26.71413230895996,170.6300048828125,442.053955078125,134.1619415283203
2022-02-09,27.0107421875,171.2100067138672,448.5238952636719,134.41439819335938
2022-02-10,26.541906356811523,170.55999755859375,440.4658508300781,132.27821350097656
2022-02-11,25.49898338317871,173.80999755859375,431.78045654296875,134.2396240234375
2022-02-14,25.384166717529297,174.74000549316406,430.3688049316406,132.5695037841797
2022-02-15,26.599313735961914,173.0800018310547,437.309326171875,131.06446838378906
2022-02-16,26.56104278564453,174.86000061035156,437.7994689941406,131.8412628173828
2022-02-17,24.590015411376953,177.25,428.4474792480469,132.8219757080078
2022-02-18,24.025497436523438,177.1199951171875,425.6732177734375,134.22019958496094
2022-02-22,22.76250648498535,177.49000549316406,421.10504150390625,134.56976318359375
2022-02-23,22.590282440185547,178.2899932861328,413.6352233886719,132.71514892578125
2022-02-24,23.02084732055664,177.13999938964844,419.860107421875,132.80258178710938
2022-02-25,23.47054672241211,176.5500030517578,429.1238708496094,132.89967346191406
2022-02-28,25.240644454956055,178.3800048828125,428.02593994140625,135.81263732910156
2022-03-01,26.580177307128906,181.6199951171875,421.5069580078125,137.38287353515625
2022-03-02,26.38881492614746,179.72999572753906,429.2611389160156,132.686767578125
2022-03-03,25.26934814453125,180.8000030517578,427.1240539550781,134.0382537841797
2022-03-04,23.709749221801758,183.67999267578125,423.6538391113281,136.35226440429688
2022-03-07,22.54244041442871,186.41000366210938,411.16485595703125,135.31190490722656
2022-03-08,23.106958389282227,191.50999450683594,408.04754638671875,133.9507293701172
2022-03-09,25.18323516845703,185.82000732421875,418.9876403808594,132.63815307617188
2022-03-10,23.78629493713379,186.39999389648438,417.0956726074219,130.73248291015625
2022-03-11,22.982574462890625,185.08999633789062,411.7922668457031,131.1699981689453
2022-03-14,23.269617080688477,182.3000030517578,408.7827453613281,128.10731506347656
2022-03-15,23.872407913208008,178.88999938964844,417.7720947265625,127.88371276855469
2022-03-16,24.551740646362305,180.00999450683594,427.0358581542969,129.137939453125
2022-03-17,24.542173385620117,180.88999938964844,432.3784484863281,128.17538452148438
2022-03-18,25.28848648071289,179.3000030517578,437.11419677734375,129.7407684326172
2022-03-21,24.73353385925293,180.6699981689453,436.9863586425781,126.7364273071289
2022-03-22,25.4320068359375,179.36000061035156,442.0997009277344,125.11270141601562
2022-03-23,25.35546112060547,181.80999755859375,436.40618896484375,127.85454559326172
2022-03-24,26.436655044555664,183.1300048828125,442.9847412109375,126.85308837890625
2022-03-25,26.73326873779297,182.3800048828125,445.1480712890625,125.09327697753906
2022-03-28,28.82868194580078,179.05999755859375,448.3144226074219,126.16276550292969
2022-03-29,28.68515968322754,179.13999938964844,453.8604431152344,127.1156005859375
2022-03-30,28.22589111328125,180.5800018310547,451.0579528808594,128.10731506347656
2022-03-31,27.326488494873047,180.64999389648438,444.1156005859375,128.41847229003906
2022-04-01,27.852737426757812,179.5,445.3742370605469,128.90731811523438
2022-04-04,27.536989212036133,180.3699951171875,449.1896057128906,128.01144409179688
2022-04-05,27.594398498535156,179.24000549316406,443.5157165527344,125.11933898925781
2022-04-06,26.159181594848633,179.66000366210938,439.08087158203125,124.10660552978516
2022-04-07,25.900842666625977,180.33999633789062,441.2933654785156,123.17181396484375
2022-04-08,25.527687072753906,181.47000122070312,440.1133728027344,121.83773803710938
2022-04-11,23.834135055541992,182.3699951171875,432.5908508300781,119.9096908569336
2022-04-12,23.432273864746094,183.77000427246094,430.9880065917969,119.74414825439453
2022-04-13,24.561309814453125,184.64999389648438,435.9243469238281,119.98757934570312
2022-04-14,23.805429458618164,184.0399932861328,430.496337890625,117.5823745727539
2022-04-18,24.29340362548828,184.61000061035156,430.67333984375,116.99811553955078
2022-04-19,24.81007957458496,181.82000732421875,437.6255187988281,116.12171173095703
2022-04-20,24.628286361694336,182.7100067138672,437.301025390625,118.45877838134766
2022-04-21,24.628286361694336,182.05999755859375,430.7618103027344,117.5823745727539
2022-04-22,23.566226959228516,180.2899932861328,418.94207763671875,116.84232330322266
2022-04-25,24.015926361083984,177.0500030517578,421.3709411621094,118.01082611083984
2022-04-26,22.829484939575195,177.32000732421875,409.1676940917969,119.19884490966797
2022-04-27,23.183504104614258,175.97999572753906,410.3182067871094,117.6700210571289
2022-04-28,23.86284065246582,176.92999267578125,420.6825866699219,117.84530639648438
2022-04-29,22.810348510742188,176.91000366210938,405.135986328125,116.31645965576172
2022-05-02,22.963436126708984,173.6300048828125,407.5746765136719,114.30028533935547
2022-05-03,22.418054580688477,174.08999633789062,409.4430236816406,115.07086944580078
